Properties,Scaleunit,Average value
Stacking energy,kcal/mol,1.7555555555555555
Enthalpy,kcal/mol,11.077777777777778
Entropy,cal/mol/K,27.555555555555557
Flexibility_shift,kJ mol^-1 A^-2,6.4911111111111115
Flexibility_slide,kJ mol^-1 A^-2,4.197777777777778
Free energy,kcal/mol,1.858888888888889
Melting Temperature,degree,107.86666666666667
Mobility to bend towards major groove,mu,0.9977777777777779
Mobility to bend towards minor groove,mu,1.2055555555555555
Probability contacting nucleosome core,%,3.377777777777778
Rise stiffness,kcal/mol angstroem,8.063333333333333
Roll stiffness,kcal/mol degree,21.555555555555557
Shift stiffness,kcal/mol angstroem,1.1466666666666667
Slide stiffness,kcal/mol angstroem,2.3388888888888886
Tilt stiffness,kcal/mol degree,31.555555555555557
Twist stiffness,kcal/mol degree,20.11111111111111
